timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1784560073712,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073721,0,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,0
1784560073822,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073937,0,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,0
1784560073970,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,0
1784560074136,0,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,,2150,0,5,18,0,0,0
1784560074388,1,Aprobar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560074282,1,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,,2150,0,5,18,0,0,1
1784560074233,1,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,,2150,0,5,18,0,0,1
1784560074279,1,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,,2150,0,5,18,0,0,1
